institute,driving_model,experiment,ensemble,rcm_name,rcm_version,time_frequency,variable
DMI,NCC-NorESM1-M,rcp85,r1i1p1,HIRHAM5,v3,day,pr
DMI,MOHC-HadGEM2-ES,historical,r1i1p1,HIRHAM5,v2,day,tasmax
KNMI,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,RACMO22E,v2,day,tasmax
KNMI,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,RACMO22E,v2,day,tasmin
KNMI,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,RACMO22E,v2,day,tas
DMI,MOHC-HadGEM2-ES,rcp85,r1i1p1,HIRHAM5,v2,day,tasmax
DMI,MOHC-HadGEM2-ES,rcp85,r1i1p1,HIRHAM5,v2,day,tas
DMI,MOHC-HadGEM2-ES,historical,r1i1p1,HIRHAM5,v2,day,pr
DMI,MOHC-HadGEM2-ES,historical,r1i1p1,HIRHAM5,v2,day,tasmin
DMI,NCC-NorESM1-M,historical,r1i1p1,HIRHAM5,v3,day,tasmin
DMI,NCC-NorESM1-M,rcp45,r1i1p1,HIRHAM5,v3,day,tasmin
DMI,NCC-NorESM1-M,historical,r1i1p1,HIRHAM5,v3,day,tasmax
KNMI,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,RACMO22E,v2,day,pr
DMI,NCC-NorESM1-M,rcp45,r1i1p1,HIRHAM5,v3,day,pr
DMI,MOHC-HadGEM2-ES,historical,r1i1p1,HIRHAM5,v2,day,tas
DMI,NCC-NorESM1-M,rcp45,r1i1p1,HIRHAM5,v3,day,tasmax
DMI,NCC-NorESM1-M,historical,r1i1p1,HIRHAM5,v3,day,pr
DMI,MOHC-HadGEM2-ES,rcp85,r1i1p1,HIRHAM5,v2,day,pr
DMI,NCC-NorESM1-M,rcp85,r1i1p1,HIRHAM5,v3,day,tas
CLMcom-ETH,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,ICHEC-EC-EARTH,historical,r12i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,ICHEC-EC-EARTH,historical,r12i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,ICHEC-EC-EARTH,historical,r12i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,NCC-NorESM1-M,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,NCC-NorESM1-M,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,ICHEC-EC-EARTH,historical,r12i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,NCC-NorESM1-M,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,NCC-NorESM1-M,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tas
KNMI,ICHEC-EC-EARTH,historical,r3i1p1,RACMO22E,v1,day,tasmax
KNMI,ICHEC-EC-EARTH,historical,r3i1p1,RACMO22E,v1,day,tasmin
KNMI,ICHEC-EC-EARTH,historical,r3i1p1,RACMO22E,v1,day,tas
DMI,ICHEC-EC-EARTH,rcp85,r1i1p1,HIRHAM5,v1,day,tas
DMI,ICHEC-EC-EARTH,historical,r1i1p1,HIRHAM5,v1,day,pr
KNMI,ICHEC-EC-EARTH,rcp85,r3i1p1,RACMO22E,v1,day,tasmax
KNMI,ICHEC-EC-EARTH,rcp85,r3i1p1,RACMO22E,v1,day,tas
DMI,ICHEC-EC-EARTH,rcp85,r1i1p1,HIRHAM5,v1,day,tasmin
