institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,hfls,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,huss,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,clt,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,snw,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,REMO2009,v1,hfss,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,REMO2009,v1,hfls,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,REMO2009,v1,clt,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,REMO2009,v1,snw,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2009,v1,hfss,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2009,v1,hfls,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2009,v1,huss,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2009,v1,clt,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2009,v1,snw,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,rlds,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,rlus,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,ts,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,hfss,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,hfls,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,clt,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,huss,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,rsds,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,rlds,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,rsus,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,rlus,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,snw,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,ts,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,REMO2009,v1,huss,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,REMO2009,v1,ts,MPI-CSC-REMO2009
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,rlus,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,hfss,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,snw,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,cll,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,snc,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,clt,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,hfls,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,rsds,KNMI-RACMO22E
