institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
MPI-CSC,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,REMO2009,v1-LSCE-IPSL-CDFt-EOBS10-1971-2005,tasmaxAdjust,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,REMO2009,v1-LSCE-IPSL-CDFt-EOBS10-1971-2005,tasminAdjust,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1-LSCE-IPSL-CDFt-EOBS10-1971-2005,tasmaxAdjust,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1-LSCE-IPSL-CDFt-EOBS10-1971-2005,tasminAdjust,MPI-CSC-REMO2009
